"nama","jenis","deskripsi","cara_penanganan"
"logam","anorganik","material yang biasanya keras tak tembus cahaya, berkilau, dan memiliki konduktivitas listrik dan panas.","Peralatan Elektronik,Logam bekas dari barang elektronik seperti komputer atau telepon dapat didaur ulang untuk digunakan kembali dalam pembuatan peralatan elektronik baru."
"logam","anorganik","material yang biasanya keras tak tembus cahaya, berkilau, dan memiliki konduktivitas listrik dan panas.","Bahan Baku Logam,Logam yang sudah terkontaminasi atau rusak bisa dijual ke pengrajin logam untuk digunakan kembali atau didaur ulang sesuai kebutuhan."
"kertas","anorganik","bahan yang terbuat dari serat kayu yang diolah menjadi lembaran tipis.","Kerajinan Origami,Kertas bekas dapat digunakan untuk membuat kerajinan origami yang kreatif dan indah atau bentuk lainnya."
"kertas","anorganik","bahan yang terbuat dari serat kayu yang diolah menjadi lembaran tipis.","Kerajinan Decoupage,Kertas bekas dapat digunakan untuk membuat kerajinan decoupage dengan cara menempelkan potongan gambar atau pola pada permukaan kertas."
"kertas","anorganik","bahan yang terbuat dari serat kayu yang diolah menjadi lembaran tipis.","Kerajinan Kertas Lipat,Kertas bekas dapat dijadikan bahan untuk membuat kerajinan kertas lipat seperti bunga atau hewan."
"kertas","anorganik","bahan yang terbuat dari serat kayu yang diolah menjadi lembaran tipis.","Kerajinan Scrapbook,Kertas bekas dapat digunakan untuk membuat scrapbook yang indah dengan menambahkan foto dan hiasan lainnya."
"kertas","anorganik","bahan yang terbuat dari serat kayu yang diolah menjadi lembaran tipis.","Kerajinan Kertas Quilling,Kertas bekas dapat digunakan untuk membuat kerajinan kertas quilling dengan gulungan kertas yang membentuk berbagai pola dan desain."
"kertas","anorganik","bahan yang terbuat dari serat kayu yang diolah menjadi lembaran tipis.","Buku Daur Ulang,Kertas dapat didaur ulang menjadi bahan baku untuk membuat buku daur ulang atau kertas hias dengan berbagai desain dan ukuran."
"kertas","anorganik","bahan yang terbuat dari serat kayu yang diolah menjadi lembaran tipis.","Kemasan Makanan,Kertas daur ulang dapat digunakan sebagai bahan kemasan makanan yang ramah lingkungan dan mudah didaur ulang."
"kertas","anorganik","bahan yang terbuat dari serat kayu yang diolah menjadi lembaran tipis.","Kertas Hias,Kertas daur ulang dapat diubah menjadi kertas hias dengan berbagai desain dan pola untuk proyek seni atau dekorasi."
"kertas","anorganik","bahan yang terbuat dari serat kayu yang diolah menjadi lembaran tipis.","Kertas Kado,Kertas daur ulang dapat digunakan sebagai bahan untuk membuat kertas kado yang ramah lingkungan dan unik."
"kertas","anorganik","bahan yang terbuat dari serat kayu yang diolah menjadi lembaran tipis.","Kertas Origami,Kertas daur ulang dapat digunakan untuk membuat origami dengan berbagai bentuk dan desain yang menarik."
"kertas","anorganik","bahan yang terbuat dari serat kayu yang diolah menjadi lembaran tipis.","Kertas Hias,Kertas yang sudah terkontaminasi tinta atau bahan kimia biasanya tidak bisa didaur ulang dan sebaiknya dibuang ke tempat pembuangan akhir (TPA)."
"plastik","anorganik","bahan sintetis yang dapat dibentuk menjadi berbagai bentuk dan digunakan dalam berbagai produk karena sifatnya yang ringan dan tahan lama.","Kerajinan Tas Tangan,Plastik bekas dapat dijadikan bahan baku untuk membuat kerajinan tas tangan yang ramah lingkungan dan modis."
"plastik","anorganik","bahan sintetis yang dapat dibentuk menjadi berbagai bentuk dan digunakan dalam berbagai produk karena sifatnya yang ringan dan tahan lama.","Kerajinan Patung,Plastik bekas dapat diubah menjadi patung dengan menggunakan teknik pemanasan dan pembentukan."
"plastik","anorganik","bahan sintetis yang dapat dibentuk menjadi berbagai bentuk dan digunakan dalam berbagai produk karena sifatnya yang ringan dan tahan lama.","Kerajinan Hiasan Rumah,Plastik bekas dapat digunakan untuk membuat hiasan rumah."
"plastik","anorganik","bahan sintetis yang dapat dibentuk menjadi berbagai bentuk dan digunakan dalam berbagai produk karena sifatnya yang ringan dan tahan lama.","Kerajinan Mainan Anak,Plastik bekas dapat dijadikan bahan untuk membuat mainan anak-anak yang aman dan menghibur."
"plastik","anorganik","bahan sintetis yang dapat dibentuk menjadi berbagai bentuk dan digunakan dalam berbagai produk karena sifatnya yang ringan dan tahan lama.","Kerajinan Aksesoris,Plastik bekas dapat diubah menjadi aksesoris  dengan proses pemotongan dan penggabungan."
"plastik","anorganik","bahan sintetis yang dapat dibentuk menjadi berbagai bentuk dan digunakan dalam berbagai produk karena sifatnya yang ringan dan tahan lama.","Plastik Daur Ulang,Plastik dapat didaur ulang menjadi berbagai produk plastik baru atau perabotan rumah tangga."
"plastik","anorganik","bahan sintetis yang dapat dibentuk menjadi berbagai bentuk dan digunakan dalam berbagai produk karena sifatnya yang ringan dan tahan lama.","Perabotan Rumah Tangga,Plastik bekas dapat didaur ulang menjadi perabotan rumah tangga."
"plastik","anorganik","bahan sintetis yang dapat dibentuk menjadi berbagai bentuk dan digunakan dalam berbagai produk karena sifatnya yang ringan dan tahan lama.","Kemasan Makanan,Plastik dapat didaur ulang menjadi bahan kemasan makanan yang ramah lingkungan dan mudah didaur ulang."
"plastik","anorganik","bahan sintetis yang dapat dibentuk menjadi berbagai bentuk dan digunakan dalam berbagai produk karena sifatnya yang ringan dan tahan lama.","Plastik Batangan,Plastik dapat didaur ulang menjadi batangan plastik yang dapat digunakan sebagai bahan baku dalam pembuatan produk plastik lainnya."
"plastik","anorganik","bahan sintetis yang dapat dibentuk menjadi berbagai bentuk dan digunakan dalam berbagai produk karena sifatnya yang ringan dan tahan lama.","Alat Rumah Tangga,Plastik bekas dapat diubah menjadi alat rumah tangga dengan proses pemotongan dan pembentukan."
"plastik","anorganik","bahan sintetis yang dapat dibentuk menjadi berbagai bentuk dan digunakan dalam berbagai produk karena sifatnya yang ringan dan tahan lama.","Pembuangan Akhir,Plastik yang sudah terkontaminasi bahan berbahaya biasanya tidak bisa didaur ulang dan sebaiknya dibuang ke tempat pembuangan akhir (TPA)."
"organik","organik","sampah yang berasal dari tumbuhan dan hewan seperti sisa makanan, daun kering, kulit buah, dan sayuran yang sudah tidak terpakai.","Kompos, sampah organik bisa dicampur dengan bahan organik lain untuk membuat kompos yang kaya akan nutrisi tanah."
"organik","organik","sampah yang berasal dari tumbuhan dan hewan seperti sisa makanan, daun kering, kulit buah, dan sayuran yang sudah tidak terpakai.","Pakan Ternak,  sampah organik bisa digunakan sebagai pakan ternak seperti ayam atau ikan."
"organik","organik","sampah yang berasal dari tumbuhan dan hewan seperti sisa makanan, daun kering, kulit buah, dan sayuran yang sudah tidak terpakai.","Pengkondisian Tanah, sampah organik seperti kulit telur dan cangkang kerang bisa dihancurkan dan ditaburkan di tanah untuk meningkatkan kadar kalsium."
"organik","organik","sampah yang berasal dari tumbuhan dan hewan seperti sisa makanan, daun kering, kulit buah, dan sayuran yang sudah tidak terpakai.","penghilang Bau, sampah organik bisa dicampur dengan bahan organik lain untuk membuat kompos atau digunakan sebagai penghilang bau."
"organik","organik","sampah yang berasal dari tumbuhan dan hewan seperti sisa makanan, daun kering, kulit buah, dan sayuran yang sudah tidak terpakai.","Pupuk Kandang,sampah organik bisa difermentasi menjadi pupuk kandang yang berguna untuk tanaman."
"organik","organik","sampah yang berasal dari tumbuhan dan hewan seperti sisa makanan, daun kering, kulit buah, dan sayuran yang sudah tidak terpakai.","Biogas,sampah organik bisa digunakan sebagai bahan baku untuk menghasilkan biogas."
